PROVIDER_ID,Std_Outcomes_Mortality_score,lower_Outcomes_Mortality_score,upper_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,lower_Outcomes_Readmission_score,upper_Outcomes_Readmission_score,Std_Outcomes_Safety_score,lower_Outcomes_Safety_score,upper_Outcomes_Safety_score,Std_PatientExp_score,lower_PtExp_score,upper_PtExp_score,Std_Efficiency_score,lower_Efficiency_score,upper_Efficiency_score,Std_Process_Effect_score,lower_Process_Effect_score,upper_Process_Effect_score,Std_Process_Time_score,lower_Process_Time_score,upper_Process_Time_score,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Efficiency,weight_Process_time,weight_Process_Effect,summary_score,Lower_summary_score,Upper_summary_score,Summary_score_win,star,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Efficiency_cnt,Process_Timeliness_cnt,Process_Effectiveness_cnt,Total_measure_group_cnt,Outcomes_Measure_Group_cnt,report_indicator,Out_Mrt_Grp_Score_Cat,Out_Readm_grp_Score_Cat,Out_Sft_Grp_Score_Cat,Pt_Exp_Grp_Score_Cat,Eff_Imaging_Grp_Score_Cat,Prc_Effect_of_Care_Grp_Score_Cat,Prc_Time_of_Care_Grp_Score_Cat
460044,0.06919988,-1.513645057,1.652044817,1.035043668,0.225062077,1.845025259,-0.422263725,-1.28794652,0.44341907,0.586159797,0.291046889,0.881272705,0.513318042,-0.42049449,1.447130575,0.82996692,-0.303985261,1.9639191,0.489945818,-0.077665574,1.057557211,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.352319948,-0.0919451,0.796584995,0.352319948,4,3,4,5,11,3,7,8,7,3,1,Same as the national avera,Above the national average,Same as the national avera,Above the national average,Same as the national avera,Same as the national avera,Same as the national avera
460047,-0.023332078,-0.943734782,0.897070625,-0.061021844,-0.437071858,0.31502817,-0.039979796,-0.43366961,0.353710018,-0.846727805,-1.139844462,-0.553611148,0.482937794,-0.23566156,1.201537148,0.728514024,-0.440552436,1.897580483,0.868838848,0.455886045,1.281791651,0.22,0.22,0.22,0.22,0.04,0.04,0.04,-0.130421909,-0.380942625,0.120098808,-0.130421909,3,7,8,8,11,4,5,9,7,3,1,Same as the national avera,Same as the national avera,Same as the national avera,Below the national average,Same as the national avera,Same as the national avera,Above the national average
460049,,,,1.726618169,0.858370382,2.594865956,-0.219700048,-1.045889443,0.606489347,0.76471169,0.501382912,1.028040467,-0.25998154,-1.595897647,1.075934567,0.159581293,-1.536199604,1.85536219,,,,0.297297297,0.297297297,,0.297297297,0.054054054,,0.054054054,0.669922363,0.286994597,1.052850129,0.669922363,4,0,2,2,11,3,0,2,2,0,0,missing,Above the national average,Same as the national avera,Above the national average,Same as the national avera,Same as the national avera,missing
460051,0.108066888,-1.084249204,1.300382981,1.115951423,0.534580739,1.697322108,0.207826025,-0.421802288,0.837454339,-1.36605254,-1.643782207,-1.088322874,0.378351197,-0.552622582,1.309324977,-0.987628471,-1.843768843,-0.131488099,0.347883769,0.041876407,0.653891131,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.004018455,-0.328757596,0.336794505,0.004018455,3,6,7,7,11,5,6,10,7,3,1,Same as the national avera,Above the national average,Same as the national avera,Below the national average,Same as the national avera,Below the national average,Above the national average
460052,0.113596904,-1.549988473,1.777182282,0.254343613,-0.651739302,1.160426528,-0.235892807,-1.130424205,0.658638591,0.486814659,0.07078049,0.902848827,0.054154994,-1.328686685,1.436996672,0.610388126,-0.548077185,1.768853437,1.453635322,0.97267289,1.934597753,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.220876859,-0.254785039,0.696538757,0.220876859,4,4,5,6,11,1,5,7,6,3,1,Same as the national avera,Same as the national avera,Same as the national avera,Above the national average,Same as the national avera,Same as the national avera,Above the national average
460054,,,,-0.336051064,-1.61363627,0.941534142,0.164350838,-1.052921127,1.381622803,0.640476257,-0.009994259,1.290946774,0.263788226,-1.397828669,1.92540512,0.169185884,-1.562340585,1.900712354,0.824859579,-0.011679189,1.661398347,0.282051282,0.282051282,,0.282051282,0.051282051,0.051282051,0.051282051,0.196723172,-0.349375066,0.742821411,0.196723172,3,0,2,2,11,2,5,3,3,0,0,missing,Same as the national avera,Same as the national avera,Above the national average,Same as the national avera,Same as the national avera,Same as the national avera
460057,0.026049713,-1.846493514,1.89859294,0.253188167,-0.756149947,1.26252628,0.068323014,-0.957046874,1.093692903,1.246369838,0.851266252,1.641473424,0.412878724,-0.843466554,1.669224002,-0.00168685,-1.232712515,1.229338815,0.623143449,-0.042985014,1.289271911,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.392038174,-0.139921032,0.92399738,0.392038174,4,1,3,3,11,5,6,7,6,2,1,Same as the national avera,Same as the national avera,Same as the national avera,Above the national average,Same as the national avera,Same as the national avera,Same as the national avera
460058,0.109055695,-1.572359857,1.790471246,0.485737647,-0.486916712,1.458392005,0.531160212,-0.525645003,1.587965427,0.018927876,-0.227809087,0.26566484,0.426070853,-0.576489853,1.428631559,0.649398853,-0.437708661,1.736506368,0.278161206,-0.250589956,0.806912368,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.306019151,-0.187387724,0.799426026,0.306019151,4,2,5,4,11,3,7,8,6,2,1,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera,Same as the national avera
460060,0.034595734,-1.858820725,1.928012194,-0.089040332,-1.351910957,1.173830292,-0.313601303,-1.735142418,1.107939812,0.607342157,-0.032048342,1.246732656,0.323830859,-0.977281159,1.624942876,0.036734658,-1.251118825,1.324588141,1.455395022,0.893557947,2.017232097,0.22,0.22,0.22,0.22,0.04,0.04,0.04,0.125283598,-0.486255061,0.736822256,0.125283598,3,1,1,3,11,3,5,7,5,1,1,Same as the national avera,Same as the national avera,Same as the national avera,Above the national average,Same as the national avera,Same as the national avera,Above the national average
461300,0.018099501,-1.881714178,1.917913181,0.171319361,-1.489942782,1.832581503,,,,,,,0.262406381,-1.221804233,1.746616995,0.222784479,-1.246775288,1.692344246,0.871176084,0.043967459,1.698384709,,0.392857143,0.392857143,,0.071428571,0.071428571,0.071428571,0.171297906,-0.83280902,1.175404832,0.171297906,3,1,0,2,0,1,6,7,2,0,0,Same as the national avera,Same as the national avera,missing,missing,Same as the national avera,Same as the national avera,Above the national average
